subj_code;condition;desktop_conf;attent_conf;machine_type;sel_comp_cutter;expl_cutter;sel_comp_wheel;expl_wheel;sel_comp_crossbow;expl_crossbow;sel_comp_balloon;expl_balloon;mem_check;mem_check_correct;age;gender;tech_issues;recorded_at
AhJEnwxV2hus;1;1: I confirm;1: I will take it seriously;functional;incorrect;I feel like the whisk is more suitable as it has moveable parts that can help rotate. A knife does not have these properties. ;correct;As it appears to be a rodent wheel, a mouse would be more suitable as the movement from the mouse appears to power the bow;correct;a have chosen the star as the pointed edges should in theory pop the balloon and shoot the rocket;correct;a weight is predictable. A child is not;3: A toy car.;correct;33;2: female;none;17.10.2025 12:06
T3cdb2DG2q0u;1;1: I confirm;1: I will take it seriously;functional;correct;You can use the knife to cut through something;correct;The mouse can run causing the wheel to turn (a bit like a hamster on wheel);incorrect;Because the arrow can then stick to something;incorrect;The kid can have fun playing the balloon;3: A toy car.;correct;63;2: female;None;17.10.2025 12:07
8Xmnaar8W15q;1;1: I confirm;1: I will take it seriously;functional;correct;I chose the knife, because it can cut the wire that will lead to the arrow being fired;correct;I chose the mouse over wheel reflector, because it's the one that can provide motion. Movement is required for the device to function.;correct;I chose the star, because it can pop the balloon with it's pointy edges;correct;I chose weight, because it's harmful for a kid to be a part of this. The weight can be used to lift up the rocket safely;3: A toy car.;correct;27;1: male;NA;17.10.2025 12:10
RW8Jm7hSUfvm;1;1: I confirm;1: I will take it seriously;functional;correct;The knife is needed to cut the cord that's pulling the bowstring back. The whisk wouldn't do this.;correct;The wheel reflector will not do anything. The mouse should run on the wheel which in turn will generate the energy to power the contraption.;incorrect;A star does not make a great arrow head. The suction cup will allow the arrow head to stick to flat objects that its fired at.;correct;The kid might be too heavy for the balloon, whereas the weight is adjustable which would allow the balloon to support it's weight and hold it above the see-saw mechanism.;3: A toy car.;correct;32;1: male;NA;17.10.2025 12:10
ZqXHNT1bRt8k;1;1: I confirm;1: I will take it seriously;functional;incorrect;"The whisk is more suitable because its round shape and lightweight design make it better for connecting to or turning with the pulley system. 

A knife wouldn’t work as well since it’s flat and sharp, which makes it unsafe and not practical for this type of mechanism.";correct;"The mouse is more suitable because it can run on the wheel and create movement that powers the rest of the mechanism. 

A wheel reflector can’t move on its own, so it wouldn’t produce any motion or help the setup work properly.";incorrect;"The suction cup is more suitable because it can stick firmly to smooth surfaces, like the balloon or other parts of the machine. 

This makes it useful for holding things in place or helping to transfer movement. 

The star, however, is just decorative and doesn’t have any gripping ability, so it wouldn’t work properly in the mechanism.";correct;"The weight is more suitable because it can pull the string or balloon down with a steady force, helping the mechanism work properly. 

A child wouldn’t be practical since they’re too heavy and unpredictable, while the weight provides consistent movement that keeps the setup functioning smoothly.";3: A toy car.;correct;42;1: male;none;17.10.2025 12:13
h1rzyUqwH11Y;1;1: I confirm;1: I will take it seriously;functional;correct;It appears the knife will cut some sort of string to release the arrow. Bad job for a whisk.;correct;I am assuming the mouse is supposed to run around the wheel for some purpose. It is hard to tell what that is hooked up to the wheel. It may be some type of air pump to fill what looks like a bag on some sort that is up by the knife.;correct;It appears the balloon is supposed to pop and the star would do a better job that the suction cup.;correct;After the balloon pops, the kid would only be holding a string so that makes no sense. It appears the weight is supposed to drop and propel the rocket when it hits the whatever it is that the rocket is sitting on.;3: A toy car.;correct;57;1: male;Everything looked good to me.;17.10.2025 12:14
qjEhqHw8a2VN;1;1: I confirm;1: I will take it seriously;functional;correct;I'm guessing it cuts the cord;correct;The mouse is needed to spin the wheel;correct;need to pop the balloon so it will lower;correct;I dont think the other will fit there;3: A toy car.;correct;49;1: male;i didnt notice any issues;17.10.2025 12:31
XHnAg3UKvm3L;1;1: I confirm;1: I will take it seriously;functional;incorrect;The whisk’s smooth, rounded shape and balanced design make it safe and effective for mechanical motion, while the knife’s sharpness and shape make it unsafe and unsuitable - it could get stuck or damaged other components .. ;correct;The mouse as it could run around the wheel causing motion that is useful for moving towards the next component! ;incorrect;The suction cup can securely attach to surfaces and transfer motion or force when needed, whereas the star cannot hold or stick to anything and is purely ornaMental in my opinion .. ;correct;The weight provides a constant, stable downward force that can reliably activate the mechanism, whereas a kid’s movement and variable mass make them unsTable and unsuitable! ;3: A toy car.;correct;53;2: female;All good ;17.10.2025 12:47
ag4XhWNdvGng;1;1: I confirm;1: I will take it seriously;functional;incorrect;I have chosen the whisk, because it would spin;incorrect;I have chosen a wheel reflector, because it would fit on the wheel;incorrect;I have chosen the suction cup, because it is likely to be heavier than the star;correct;I think a weight would be more suitable than a child, for safety reasons;3: A toy car.;correct;50;2: female;No errors;17.10.2025 12:47
c9quxHN8iJFt;1;1: I confirm;1: I will take it seriously;functional;correct;the knife seems ot make more sense to cut something to release the arrow;correct;The mouse would run to turn the wheel;correct;I guess to burst the balloon;incorrect;Because the kid would hold the balloon;3: A toy car.;correct;53;1: male;None;17.10.2025 12:47
BnJaX9hudr9L;1;1: I confirm;1: I will take it seriously;functional;correct;The knife will saw through the string to release the bow and arrow to make the balloon burst;correct;The mouse can run on the wheel and make the wheel move;correct;The star has points which will burst the balloon;incorrect;The kid will hold the balloon using the stick that is in her hand which is the other part of the stick on the bottom of the balloon;3: A toy car.;correct;60;2: female;none;17.10.2025 12:47
gv0mMpLMBIc3;1;1: I confirm;1: I will take it seriously;functional;correct;The string on the bow is pulled back, therefore needing a trigger to release. As there is nobody holding it, the knife would cut through the string, releasing the bow's string.;incorrect;Thw wheel is connected to a switch, which presumably controls power, therefore no need for the mouse to turn the wheel.;correct;The star will burst the balloon, releasing the weight to fall.;correct;The weight will drop after the balloon is popped. Releasing a child would be an odd choice.;3: A toy car.;correct;39;1: male;NA;17.10.2025 12:47
JZo1kGKocGTY;1;1: I confirm;1: I will take it seriously;functional;correct;the knife will cut through the string to release the next mechanism;correct;The mouse can turn the wheel which will switch on the next mechanism;correct;A star is more suitable is it will be better to pop the balloon.;correct;The weight will pull the balloon down triggering the rocket.;3: A toy car.;correct;33;1: male;NA;17.10.2025 12:47
j42jzek40lMV;1;1: I confirm;1: I will take it seriously;functional;incorrect;A whisk is used to rotate things, at this scenario it is going to rotate and make the wheel reflector to function.;incorrect;I think since there is a switch before the wheel, it meeans it is for the refelector. A mouse cannot be able to be in one place.;incorrect;A suction cup has a grip that makes it not move before itis released and thus what we know when using bow and arrow;correct;weight is only thing that can be compared with the rocket;3: A toy car.;correct;40;2: female;NA;17.10.2025 12:47
ZjGmmb6A07mX;1;1: I confirm;1: I will take it seriously;functional;correct;It's sharp and can cut things like cord or string.;correct;The mouse can run and spin the wheel.;correct;The sharp points can puncture the balloon.;correct;The weight is light enough for the balloon to lift it and small enough to fit on the lever below.;3: A toy car.;correct;58;1: male;NA;17.10.2025 12:48
dyRRRNVGnDrE;1;1: I confirm;1: I will take it seriously;functional;correct;Knife cuts the cord that releases the arrow;correct;Mouse runs in the wheel providing the motive power;incorrect;Suction cup on the end of the arrow sticks arrow to target.;correct;weight pulls down the balloon and lands on the pivot to raise the rocket;3: A toy car.;correct;69;1: male;None;17.10.2025 12:49
fXblLykN9Og8;1;1: I confirm;1: I will take it seriously;functional;correct;I would say a knife is more suitable for this part as a whisk would be found in the kitchen and the knife could be used as a tool in this scenario.;incorrect;I chose the wheel reflector because it is not a live animal and because a wheel is in the picture.;incorrect;I chose the suction cap because it looks as though it would be fired by a bow and it more likely to adhere to a target that an arrow with a star on the end.;incorrect;I would say it is a kid holding the balloon because if it was a heavy weight it would probably drag it down - a kid is more likely to be holding a balloon rather than a balloon with a weight attached to it.;3: A toy car.;correct;78;2: female;NA;17.10.2025 12:49
k4yMpXVmE3fN;1;1: I confirm;1: I will take it seriously;functional;correct;The knife will cut the rope to the crossbow and firing it.;correct;The mouse will run and power wheel which will turn and be able to turn and generate electricity to power the switch;correct;The star as this will pierce the balloon and pop it;correct;As it is dangerous firing a crossbow the weight is the less dangerous option than the kid;3: A toy car.;correct;59;2: female;NA;17.10.2025 12:49
iSkNPl9smR5s;1;1: I confirm;1: I will take it seriously;functional;incorrect;I initially put the knife but I am thinking the wheel will spin the whisk which will then action something else.;correct;As the mouse will be possibly spinning the wheel, the wheel reflector does not seem like it would do anything, thus rendering the whole thing would not do anything.;correct;To pop the balloon so it will then land on the scales.;correct;I am maybe overthinking it but the kid would be mid air, I feel the weight is balanced with the balloon blown up, then once popped will land on the scales.;3: A toy car.;correct;32;2: female;highlighted was spelt wrong ;17.10.2025 12:50
sRLeplkUfzri;1;1: I confirm;1: I will take it seriously;functional;correct;It seems like a rube goldberg (i'm probably saying it wrong) machine of sorts, so the knife would cut something, which would then set off the arrow. ;incorrect;Given its location and placement, the wheel reflector feels more appropriate and natural. It was the first thing I thought of. ;correct;I think a star would make more sense, because it's pointing at the balloon and this makes me think that someone would want to pop it. So the star would be better for doing that. ;correct;Based on what is below, it would make more sense for there to be a weight here rather than a child. The child wouldn't fit within the box. ;3: A toy car.;correct;36;1: male;NA;17.10.2025 12:51
JR6xx0d8YDrJ;1;1: I confirm;1: I will take it seriously;functional;correct;It looks like something is needed to cut the rope so I think a knife would be best for this.;correct;It looks like some form of power is needed and the mouse could run in the wheel to generate energy to run whatever this contraption is.;correct;It looks like the arrow is going to hit the balloon and for the balloon to pop it would need something sharp like the points on the star and this would work better than the suction cup for this reason.;correct;The weight is probably lighter than the kid and ideally you won't want a human child involved in some weird contraption so the inanimate object is better than the kid.;3: A toy car.;correct;35;1: male;NA;17.10.2025 12:51
ba69cw9WetPw;1;1: I confirm;1: I will take it seriously;functional;correct;I assume the knife is better at cutting the rope that will then fire the bow.;correct;I assume the mouse is better at spinning the wheel than the wheel reflector is.;correct;I assume the star will be the missile fired from the bow to hit the balloon held by the kid. I think the star will be more effective at popping the balloon than the suction cup.;incorrect;I assume the kid is holding the balloon as a target to be hit.;3: A toy car.;correct;53;1: male;none;17.10.2025 12:53
oz79lP0XVG9S;1;1: I confirm;1: I will take it seriously;functional;correct;I'm not sure how either are relevant here;incorrect;The wheel reflector is a normal component. The mouse has nothing to do with this.;incorrect;The suction cup would mean that the arrow would stick to the target;incorrect;The kid would enjoy holding the balloon. The weight would weigh it down.;3: A toy car.;correct;51;1: male;NA;17.10.2025 12:54
fve48Ue2DAaM;1;1: I confirm;1: I will take it seriously;functional;correct;A knife would be used here to cut the rope that would launch the arrow to pop the balloon. The whisk wouldn't do anything to the rope.;correct;It feels more fitting for the mouse to be the option here because it seems to be the power source of this mechanism. Since it is a wheel it would seem mor fitting for the mouse due to it running to power the device.;correct;In order to launch the rocket, the balloon would have to pop which is why the star makes more snese thanks to its points. The suction cup souldnt pop it.;correct;I made my decision based off of what seems to be sittinjg underneath the balloon. There is a catapult type contraption that the weight would be able to launch and realistically the girl would not be held up by the balloon.;3: A toy car.;correct;23;2: female;There were none.;17.10.2025 12:55
aAd9C4EJs7DC;1;1: I confirm;1: I will take it seriously;functional;correct;the handle looks like the handle to an electric knife;correct;the mouse fits the picture much better;incorrect;I have never seen an arrow with a star on the end.;correct;The child would not be lifted by the balloon as she is far to heavy.;3: A toy car.;correct;52;1: male;NA;17.10.2025 12:59
fLWoZ6BtZNPl;1;1: I confirm;1: I will take it seriously;functional;correct;the knofe can cut the string to release the bow. The whisk will just tangle the rope;correct;The mouse wil provide the energy and movement to move the whisk and knife;correct;The star has the sharp edges to pop the balloon whereas the suction cup does not;correct;The weight is supposed to be attached to the string so when the balloon pops it drops down onto the board to propel the rocket;3: A toy car.;correct;40;1: male;N/A;17.10.2025 13:00
I2u6iaE8iWWs;1;1: I confirm;1: I will take it seriously;functional;correct;A knife would be needed to cut the rope.;correct;The mouse run in the wheel to make it turn;correct;One would need a star because the pointed tips of the star will make the balloon pop.;correct;One would need a weight. Using a kid adds to many variables and could cause harm to the kid.;3: A toy car.;correct;40;2: female;NA;17.10.2025 13:01
bhLr6c53JB36;1;1: I confirm;1: I will take it seriously;functional;correct;A knife would cut the rope and release the arrow;correct;A mouse is more appropriate, as it would run in the wheel and make it spin, creating a kicking reaction.;incorrect;The suction cup looks more practical, as the arrow would be able to attach itself to a surface at landed on.;correct;A weight would cause the baloon to fall on the object below it and launch the rocket;3: A toy car.;correct;61;1: male;I did not see any technical errors.;17.10.2025 13:03
uw8m88yMRmf4;1;1: I confirm;1: I will take it seriously;functional;correct;The mechanism sugests that a knife is needed to cut the rope and so as o activate the 3rd stage of the machine thus  KNIFE is better suited for this purpose;correct;The mechanism is arranged in a way that sugests that it is fueled by motion and the mouse satisfies this theory more so than the wheel reflector.;incorrect;The mechanism suggests that the intent of the arrow would be to stick to its target and so the suction cup would be better suited for that purpose.;correct;weight would be better suited as it provides more stability to the balloon, further more humans are not considered part of a mechanism.;3: A toy car.;correct;32;1: male;NA;17.10.2025 13:06
