subj_code;condition; machine ; cutter_mention ; cutter_expressions ; balloon_mention ; balloon_expressions ; crossbow_mention ; crossbow_expressions ; wheel_mention ; wheel_expressions;i 2; cutter_mention 4; cutter_expressions 5; balloon_mention 7; balloon_expressions 8; crossbow_mention 10; crossbow_expressions 11; wheel_mention 13; wheel_expressions14
3W8J6qqY6d50;1; functional ;1; more efficient to cut ;1; hold the balloon in place ;1; to aim at a target, hit the target ;0; ;13;0; the knife would be more efficient to cut what looks like meat ;0;  ;0;  ;0; 
7yrQJBh03aHA;1; functional ;0;  ;0;  ;1; stick to the balloon, weight it down ;1; generate power, will generate power;14;0;  ;0;  ;1; will allow the arrow to stick to the balloon, weight it down ;1; The mouse running on the wheel
X0UOVM9FgwCg;1; functional ;1; electricly driven, will turn to set off the crossbow ;0;  ;1; sharper ;1; turn the wheel, switching on the electric;15;0;  ;1; will drop when the balloon bursts ;1; sharper ;0; 
C9SmNfoCdd6z;1; functional ;1; will cut the string ;1; weight the balloon down too much ;1; to stick to whatever it lands on ;1; will run in the wheel, cause it to spin;16;1; will cut the string ;0;  ;1; stick to whatever it lands on ;0; 
yHExA8iMGRVW;1; functional ;1; Knife cuts the string ;0;  ;1; sharp ;0; ;17;1; cuts the string ;0;  ;1; The star would be sharp, sharp ;0; 
MvdA1fW6kgm2;1; functional ;1; will cut something, which would enable the bow to shoot something ;1; stay on the balloon, would stay on the balloon ;1; the star is pointed, it would burst the balloon, a suction cup wouldnt pierce the balloo, it would just stick to it at best or deflect off of it, if it stuck the balloon it might add enough extra weight to make the balloon drop, but even then the star bursting the balloon would be more effective in doing that ;1; would make the wheel spin, would not provide any movement;18;0;  ;0; would stay on the balloon ;1; the star is pointed ;1; a mouse would make the wheel spin, which would then flip the switch
c5P1kNssrBds;1; functional ;1; appears to be motorised ;1; too heavy ;0;  ;1; can move inside the wheel;19;1; motorised, as the whisk turns it would tighten the strings ;0; weight can be lifted up by the balloon ;0;  ;0; 
QeV25zRJismP;1; functional ;1; sharp instrument, is used as a sharp instrument ;0;  ;1; sharp edge of the star is intended to burst the balloon, the suction cup is not likely to burst the balloon, burst the balloon to drop the weight and set off the rocket ;1; will cause a forward motion that sets the contraption in to action;20;1; sharp instrument, to cut a cord ;0;  ;1; sharp edge of the star ;0; The mouse will cause a forward motion that sets the contraption in to action
TM6iIGpfsDP4;1; functional ;0;  ;1; the weight is smaller, less likely to obstruct the rocket, will have a controlled descent ;1; pointed ;1; needs to power the whole setup, can be generated by the mouse running;21;1; A whisk won't achieve this, but a knife will., sever the cord ;1; the weight is smaller, less likely to obstruct the rocket, will have a controlled descent ;1; pointed star, will pop the balloon ;0; 
shM37apwSU2m;1; functional ;1; would be able to go through the hole, release the string ;0;  ;1; the star would most likely burst the baloon, the suction cup to latch onto it ;0; ;22;1; go through the hole, release the string ;0;  ;1; latch onto it ;0; 
n6vQj2XBiCau;1; functional ;1; cut the line holding the bow string back ;0;  ;1; The suction cup on the tip of the arrow will allow the arrow to stick where it is aimed. ;1; The mouse is needed to propel or run the wheel to power the apparratus;23;1; cut the line holding the bow string back ;0;  ;0; The suction cup on the tip of the arrow will allow the arrow to stick where it is aimed. ;0; 
1KB2Zc6n8WF9;1; functional ;0; could turn ;0; could go up and down ;0;  ;0; ;24;0;  ;0; go up and down ;0;  ;0; 
DZAJCtk64QKv;1; functional ;1; generate air ;0; dedicated heaviness, heaviness ;0; the star has any purpose with the device, the suction cup has a better fit for prupose ;0; movement, power;25;0; generate air ;0; dedicated heaviness ;0;  ;0; 
DGv8j4mu0ZZR;1; functional ;0; generate electricity if turned ;0;  ;1; sharp, will pop the balloon ;1; rotating wheel, to be able to turn it, turn it;26;0; generate electricity ;0;  ;0;  ;0; 
M3QYwx78vTI7;1; functional ;1; used to cut the rope, would not be able to do this ;1; size of the kid ;1; pop the baloon ;0; will run away;27;1; used to cut the rope ;0;  ;0;  ;0; 
rmxwnX290kK7;1; functional ;1; would cut, cut the cord ;0;  ;1; the star would pop the balloon, the suction cup wouldn't ;0; ;28;1; cut the cord ;0; more ethical, practical ;1; the star would pop the balloon ;0; 
O2WUUf8XswxK;1; functional ;1; to cut the string, which only a knife can do ;0;  ;0;  ;1; the wheel to turn;29;1; cut the string, only a knife can do ;0;  ;0;  ;0; 
LZ0FqTqH7xVh;1; functional ;1; can rotate or move inorder to mix things up, The shape and structure of a whisk makes it best fit for a machine that requires spinning its parts ;1; can provide balance within a machine ;1; designed to attach to smooth or flat surfaces, temporary grip for objects, best fit for machines that requires a temporary grip for objects ;1; built to rotate smoothly around a wheel, around an area where reflection is needed;30;0;  ;0;  ;0;  ;0; 
uhQdcM3Yfkkv;1; functional ;1; sharp end, capable of cutting through material ;1; The weight is considerably smaller in size compared to the kid's., The weight can easily fit onto the small makeshift wheeled platform ;1; designed to stick onto the desired target, stick onto the desired target ;1; creates the energy needed to spin the wheel, by running on it;31;1; sharp end capable of cutting through material, cut the string which holds tension ;1; The weight is considerably smaller in size compared to the kid's., the weight can easily fit onto the small makeshift wheeled platform ;0;  ;1; The mouse creates the energy needed to spin the wheel by running on it, as the mouse cycles on the wheel
btyfobEJOnkY;1; functional ;1; runs, wind up the bow ;0;  ;0; It would allow the arrow to have some purpose, a star would have no benefit ;1; will move;32;1; runs, wind up the bow, creating tension, shoot ;0;  ;0;  ;0; 
AhJEnwxV2hus;1; functional ;0; moveable parts, rotate, moveable parts that can help rotate ;0; predictable ;1; the pointed edges ;1; movement from the mouse, power the bow;33;0;  ;0; a weight is predictable. ;1; pointed edges ;0; 
T3cdb2DG2q0u;1; functional ;1; cut through something ;0;  ;1; stick to something ;1; The mouse can run;34;0;  ;0; The kid can have fun playing the balloon ;0;  ;0; 
8Xmnaar8W15q;1; functional ;1; can cut the wire ;1; weight, can be used to lift up the rocket safely ;1; pointy edges ;0; it's the one that can provide motion, Movement is required for the device to function;35;1; can cut the wire that will lead to the arrow being fired ;1; The weight can be used to lift up the rocket safely ;1; it's pointy edges, pointy edges ;0; it's the one that can provide motion
RW8Jm7hSUfvm;1; functional ;1; to cut the cord that's pulling the bowstring back ;1; too heavy for the balloon, weight is adjustable, would allow the balloon to support it's weight, hold it above the see-saw mechanism ;1; The suction cup will allow the arrow head to stick to flat objects that its fired at, to stick to flat objects ;0; ;36;1; cut the cord that's pulling the bowstring back ;0; adjustable ;0; stick to flat objects, The suction cup will allow the arrow head to stick to flat objects ;0; 
ZqXHNT1bRt8k;1; functional ;1; round shape, lightweight design, better for connecting to or turning with the pulley system ;1; pull the string or balloon down with a steady force, steady force, consistent movement, provides consistent movement that keeps the setup functioning smoothly ;1; can stick firmly to smooth surfaces, useful for holding things in place, helping to transfer movement ;1; can run on the wheel, create movement that powers the rest of the mechanism;37;1; round shape, lightweight design ;1; pull the string or balloon down with a steady force, steady force, consistent movement, weight provides consistent movement ;1; stick firmly to smooth surfaces, holding things in place, helping to transfer movement ;0; 
h1rzyUqwH11Y;1; functional ;1; will cut some sort of string ;1; weight is supposed to drop, propel the rocket when it hits the whatever it is that the rocket is sitting on ;0; pop ;0; I am assuming the mouse is supposed to run around the wheel for some purpose.;38;1; the knife will cut some sort of string to release the arrow ;1; weight is supposed to drop, propel the rocket when it hits the whatever it is that the rocket is sitting on ;0;  ;0; 
qjEhqHw8a2VN;1; functional ;0;  ;0;  ;0;  ;1; The mouse is needed to spin the wheel, to spin the wheel;39;0;  ;0;  ;0;  ;0; 
XHnAg3UKvm3L;1; functional ;1; safe and effective for mechanical motion, unsafe and unsuitable ;1; constant, stable downward force, reliably activate the mechanism ;1; can securely attach to surfaces, transfer motion or force when needed, cannot hold or stick to anything, purely ornaMental in my opinion ;1; could run around the wheel, causing motion that is useful for moving towards the next component!;40;0; smooth, rounded shape, balanced design, safe and effective for mechanical motion ;0; constant, stable downward force, reliably activate the mechanism ;0;  ;0; 
ag4XhWNdvGng;1; functional ;0; would spin ;0;  ;0; heavier than the star ;1; fit on the wheel;41;0; would spin ;0;  ;0; heavier than the star ;0; 
c9quxHN8iJFt;1; functional ;1; to cut something ;0;  ;0;  ;1; would run;42;0;  ;0;  ;0;  ;0; would run
BnJaX9hudr9L;1; functional ;1; saw through the string ;0;  ;1; points, will burst the balloon ;1; make the wheel move;43;1; The knife will saw through the string ;0;  ;1; The star has points, has points, points ;0; 
gv0mMpLMBIc3;1; functional ;1; The string on the bow is pulled back, therefore needing a trigger to release, releasing the bow's string, the knife would cut through the string ;0; The weight will drop after the balloon is popped. ;0;  ;1; The wheel is connected to a switch;44;1; knife would cut through the string ;0; The weight will drop after the balloon is popped. ;1; will burst the balloon, burst the balloon ;0; 
JZo1kGKocGTY;1; functional ;1; cut through the string ;1; pull the balloon down ;0;  ;1; The mouse can turn the wheel;45;1; cut through the string ;1; pull the balloon down ;0;  ;1; The mouse can turn the wheel
j42jzek40lMV;1; functional ;1; A whisk is used to rotate things, used to rotate things, rotate things, it is going to rotate, make the wheel reflector to function ;0;  ;1; grip, not move ;1; it is for the reflector;46;1; A whisk is used to rotate things, it is going to rotate ;0;  ;0; grip, not move before it is released ;0; 
ZjGmmb6A07mX;1; functional ;1; It's sharp, can cut things like cord or string. ;1; weight is light enough, small enough ;1; can puncture ;1; can run, spin the wheel;47;1; It's sharp ;0; light enough for the balloon to lift it, small enough to fit on the lever below ;0;  ;0; run, spin
dyRRRNVGnDrE;1; functional ;1; cuts ;1; weight pulls down the balloon ;1; sticks arrow to target ;0; ;48;1; cuts the cord ;1; pulls down ;1; sticks arrow to target ;0; 
fXblLykN9Og8;1; functional ;1; the knife could be used as a tool in this scenario ;0;  ;1; would be fired by a bow, adhere to a target ;0; ;49;0; a knife is more suitable for this part, the knife could be used as a tool in this scenario ;0;  ;0; it would be fired by a bow, adhere to a target, more likely to adhere to a target ;0; 
k4yMpXVmE3fN;1; functional ;1; cut the rope ;0;  ;1; will pierce the balloon ;1; will run;50;1; will cut, cut the rope, cut the rope to the crossbow ;0;  ;0;  ;1; will run
iSkNPl9smR5s;1; functional ;1; will spin, spin, spin the whisk ;1; weight is balanced with the balloon blown up, balloon blown up ;0;  ;0; does not seem like it would do anything, would not do anything;51;0;  ;0;  ;0;  ;0; 
sRLeplkUfzri;1; functional ;1; knife would cut something ;0;  ;1; it's pointing at the balloon, the star would be better for doing that ;0; feels more appropriate and natural;52;0;  ;0;  ;1; it's pointing at the balloon, the star would be better for doing that ;0; feels more appropriate and natural
JR6xx0d8YDrJ;1; functional ;1; to cut the rope ;0;  ;1; the balloon to pop ;1; the mouse could run in the wheel;53;1; cut the rope ;0; lighter than the kid ;1; points on the star, sharp like the points on the star ;0; could run in the wheel
ba69cw9WetPw;1; functional ;1; better at cutting the rope ;0;  ;1; more effective at popping the balloon ;1; better at spinning the wheel, spinning the wheel;54;1; better at cutting the rope, cutting the rope ;0;  ;1; more effective at popping the balloon than the suction cup ;0; 
oz79lP0XVG9S;1; functional ;0;  ;1; The weight would weigh it down. ;1; would stick to the target, stick to the target ;0; ;55;0;  ;0; The kid would enjoy holding the balloon. ;0; stick to the target ;0; 
fve48Ue2DAaM;1; functional ;1; A knife would be used here to cut the rope, cut the rope, The whisk wouldn't do anything to the rope ;1; would not be held up by the balloon ;1; the balloon would have to pop ;1; it seems to be the power source of this mechanism, running to power the device;56;1; cut the rope ;0;  ;1; its points ;0; 
aAd9C4EJs7DC;1; functional ;0;  ;1; she is far to heavy ;0;  ;0; ;57;0;  ;0; heavy ;0;  ;0; 
fLWoZ6BtZNPl;1; functional ;1; can cut the string, will just tangle the rope ;1; drops down onto the board, to propel the rocket ;1; sharp edges, to pop the balloon ;1; provide the energy and movement;58;1; can cut the string, cut the string to release the bow ;1; is supposed to be attached to the string, it drops down onto the board, to propel the rocket, when the balloon pops ;1; sharp edges ;1; energy, movement
I2u6iaE8iWWs;1; functional ;1; to cut ;0; weight ;1; pointed tips of the star, will make the balloon pop ;0; ;59;1; to cut the rope, needed to cut ;0;  ;1; pointed tips of the star ;0; 
bhLr6c53JB36;1; functional ;1; would cut the rope ;0;  ;1; looks more practical, attach itself to a surface ;1; would run in the wheel;60;1; cut the rope, would cut the rope ;1; would cause the baloon to fall, launch the rocket ;0; looks more practical, attach itself to a surface ;0; would run in the wheel
uw8m88yMRmf4;1; functional ;1; knife is needed to cut the rope, cut the rope, KNIFE is better suited for this purpose ;0;  ;1; intent of the arrow would be to stick to its target, stick to its target ;0; fueled by motion;61;1; knife is needed to cut the rope, KNIFE is better suited for this purpose ;0;  ;0; stick to its target ;0; 
RoyeeRmAfDQY;1; functional ;1; affixes effectively and easily into this contraption, therefore allowing all the pieces to flow cohesively ;1; holding the string ;1; utilizes oxygen that it has sucked up from the air, passes it along to this contraption, in order to get the currents working effectively ;1; will work effectively to attach to the wheel that is present in order to get this contraption working;62;0; affixes effectively and easily into this contraption, therefore allowing all the pieces to flow cohesively ;0;  ;0; utilizes oxygen that it has sucked up from the air, passes it along to this contraption ;0; 
MT04pzh9GrZm;1; functional ;1; suitable for cutting the rope ;0;  ;1; to do damage, not stick to something ;1; to turn the wheel, not reflect light to be seen;63;1; suitable for cutting the rope ;0;  ;0;  ;0; turn the wheel, not reflect light to be seen
52KCNZtuYz3F;1; functional ;1; can cut the rope, launch arrow with suction cup towrad the balloon ;1; known and consistent component, provides force ;1; the suction cup can latch onto the balloon ;0; ;64;1; the knife can cut the rope, launch arrow with suction cup towrad the balloon ;0; known, consistent, provides force ;1; the suction cup can latch onto the balloon ;0; 
ejunaKwqw9QW;1; functional ;0;  ;0;  ;1; burst the balloon, drop the next item ;1; can turn the wheel;65;0;  ;1; heavy enough to launch the rocket ;1; could burst the balloon ;0; 
FdFko0nCTv8m;1; functional ;1; electrical nature of the part ;0;  ;1; would stick to the target ;1; running in these wheels, as pets running in these wheels;66;0;  ;0;  ;0; would stick to the target ;0; 
JxLYiN8c7ewV;1; functional ;1; to cut the meat ;0;  ;0;  ;0; ;67;0;  ;0;  ;0;  ;0; 
RoC0KWGR9ehg;1; functional ;1; it would stick in the Target ;0;  ;1; wouldn't leave any marks, harm anything ;0; ;68;0; stick in the Target ;0; takes no effort, easier ;0; wouldn't leave any marks, harm anything ;0; 
yGRs5uSSIugW;1; functional ;1; hook, catch ;1; a steady downward pull, to trigger the step ;1; puncture the balloon, stick ;1; fits the bike wheel, spins properly;69;0; hook, catch ;0;  ;0; would just stick ;0; 
u5KFfXgZOQtn;2; separate_parts ;1; more versatile, used to chop or pierce something ;0; The weight looks kind of too large for the balloon. ;1; wouldn't be able to stick or pierce anything well ;1; some type of rodent running in a wheel;70;0; knife seems more versatile than a whisk, It might be used to chop or pierce something ;0;  ;0;  ;0; 
EWXQ9wYzNFxP;2; separate_parts ;1; will be able to cut through things with ease ;1; will stop the balloon from floating away ;1; will stick on the target ;1; will be able to move the wheel around;71;0;  ;0;  ;0; will stick on the target ;0; 
PozzBeqho5md;2; separate_parts ;0; long and knife-like tip ;1; the balloon floats in air, something light is placed on it, the weight would bring it down ;0; star pointed tip arrow, suction cup tip, rare, used more ;0; ;72;0;  ;0;  ;0;  ;0; 
IACQgPqful4K;2; separate_parts ;0;  ;1; pull down, pull down the balloon ;0;  ;1; can run in the wheel, turn it;73;0;  ;0;  ;0;  ;0; 
lk2RkZjBBKGI;2; separate_parts ;1; The shape of the handle, where the grip is placem, a cutting motion would be easier than a vertical motion ;0;  ;0;  ;0; ;74;0; The shape of the handle, where the grip is placed, a cutting motion would be easier than a vertical motion, a knife seems more ergonomically likely ;0;  ;0;  ;0; 
1vkbshfKsuBq;2; separate_parts ;0;  ;0; her size, her posture ;0;  ;1; specifically designed for bicycle wheels, curved shape, reflective material, fit perfectly on the wheel rim;75;0;  ;0;  ;0;  ;0; 
pct0YWiBW29j;2; separate_parts ;0;  ;0;  ;0;  ;0; ;76;0;  ;0;  ;0;  ;0; 
0DhpwKG4ewCL;2; separate_parts ;1; both can be used in powered appliances, I can see that the part is plugged in to a socket on the wall. ;1; it's purpose could be to hold the balloon down and stop it from flying away. ;1; designed to be shot at something, grab it and bring it back to you ;1; would move when the wheel moved, connected to something that would move when the wheel moved, A mouse would make sense if it was connected to something that would move when the wheel moved;77;0; could really be either - both can be used in powered appliances, the part is plugged in to a socket on the wall, Based on how this would be held in the hand and used, electric breadknife, electric beater which would be shaped differently ;0;  ;1; grab it and bring it back to you ;0; 
soqbpSQOSXNv;2; separate_parts ;0;  ;0;  ;0;  ;0; ;78;0;  ;0;  ;0;  ;0; 
7ry20vUSD748;2; separate_parts ;0;  ;0;  ;0;  ;0; ;79;0;  ;0;  ;0;  ;0; 
6nxvIYyEDxNf;2; separate_parts ;1; electronic knife used for carving meat, knife on the end for cutting meat, common kitchen utensil ;0;  ;1; stick to a surface, would stick to a surface when aimed ;0; ;80;0;  ;0; It is common for a kid to be holding a balloon, When I was a kid, I would often hold and carry balloons ;0;  ;0; 
89DA92QfMnDz;2; separate_parts ;1; The appliance is attached to an electric socket., A whisk attachment would be the most common thing to attach here as whisk are regularly used in baking., It would be more unusual to have an 'electric' knife. ;1; balloon with a weight attached, weight attached, balloon string in their hand, walking with the balloon string in their hand ;1; would hit the target, attach to it ;0; ;81;0;  ;1; weight attached to balloon, balloon string in their hand ;0; attach to it ;0; 
7Ar9IgeTdovM;2; separate_parts ;1; being hung openly, less dangerous than the knife, appears to be plugged in to an electrical socket, could easily be activated by accident ;1; more reliable, to hold the balloon steady ;1; stick to the target, soft and flecible, wouldn't do much damage ;0; ;82;1; being hung openly, appliance appears to be plugged in to an electrical socket, could easily be activated by accident ;0; The weight would be more reliable to hold the balloon steady ;0;  ;0; 
sqizYgJesYgC;2; separate_parts ;0;  ;0;  ;0;  ;0; utilitarian;83;0;  ;0;  ;0;  ;0; 
eC6pMzPX5loJ;2; separate_parts ;0;  ;0;  ;0;  ;0; ;84;0;  ;0;  ;0;  ;0; 
Ibfqoi7eExS4;2; separate_parts ;1; more suitable to be connected to the machine ;0;  ;1; they work well with a bow ;0; ;85;0;  ;0;  ;1; they work well with a bow. ;0; 
y54lqEFbhBFF;2; separate_parts ;1; looks like the item you carve meat with ;0;  ;0;  ;0; ;86;0;  ;0;  ;0;  ;0; 
asJB4YV9kRIE;2; separate_parts ;0;  ;1; long enough to fit in that kid picture ;0;  ;0; ;87;0;  ;0;  ;0;  ;0; 
FBpFuJHjjdPv;2; separate_parts ;1; to hold a whisk in place ;1; keeping the balloon from floating away, floating away ;0; Arrows quite often have suction cups attached, suction cups attached ;0; the wheel has a reflector;88;0;  ;0;  ;0;  ;0; 
tMlrrpT0C7On;2; separate_parts ;0;  ;0;  ;1; as part of an arrow would be dangerous, a suction cup would make a fun safe toy ;0; ;89;0;  ;0;  ;0;  ;0; 
nGhCYFkRHwUH;2; separate_parts ;0;  ;0;  ;1; stick to stuff ;0; ;90;0;  ;0;  ;0; a suction cup will at least stick to stuff when fired. ;0; 
BwxBTwh0JN1v;2; separate_parts ;1; hand held, not likely to be electronic ;1; weight ;1; suction cup, stick to its targets ;0; ;91;0;  ;0;  ;0; stick to its targets ;0; 
ITwbDynPAfRQ;2; separate_parts ;1; The knife is not very safe to be hanging on a wall and plugged in. ;1; The weight can hold the balloon forever without any energy ;1; stick to the target ;1; will help to move the wheel, when he runs;92;0;  ;0; The weight can hold the balloon forever without any energy ;0; stick to the target ;0; 
QD5Jb383URS1;2; separate_parts ;0;  ;1; weight would be more consistent in holding the balloon, would be more durable ;1; sticks on the target ;0; ;93;0; shape of the utensil looks like a knife, one constant straight line ;0;  ;0; sticks on the target ;0; they love wheels, run on them frequently
4NH5jYhg9tP5;2; separate_parts ;0;  ;0;  ;0;  ;0; ;94;0;  ;0;  ;0;  ;0; 
oQ55v1PEb6gd;2; separate_parts ;1; electric carving knife, electric cord, fit into the contraption at the top ;0;  ;0; pointy at the ends, lend itself to a star ;0; ;95;0;  ;0;  ;0; pointy at the ends ;0; 
fLfFJQoxxhJd;2; separate_parts ;0;  ;0;  ;0; genuine, toy ;0; ;96;0;  ;0; she could be slightly on tip toes ;0;  ;0; 
YX1LHnyje6SU;2; separate_parts ;0; designed to be used horizontally, not vertically ;0; permanent ;0;  ;0; ;97;0;  ;0;  ;0;  ;0; 
1DJCkKgcH34N;2; separate_parts ;0;  ;0;  ;1; no use on a bow, used as a weapon ;0; a cycle wheel has a lot more spokes on it;98;0;  ;0;  ;0;  ;0; 
OLrRV1RaOhdj;2; separate_parts ;0;  ;1; balloon on a string, for a child to hold ;1; the star would probably work as a 'point' if you were actually going to use the arrow as an arrow, sharp enough to penetrate a surface at speed, additional spikes would limit the depth of penetration, the arrow would likely fall out again, a suction cup, that would maintain the arrow in place on whatever the target was ;1; not to have any depth for the mouse to run in;99;0;  ;1; a balloon on a string for a child to hold ;0; would maintain the arrow in place on whatever the target was ;0; 
o8I0Y4xl8tmj;2; separate_parts ;1; would go into ;0;  ;1; they are less likely to hurt people ;0; ;100;0;  ;0;  ;1; less likely to hurt people ;0; 
fXGws3Kq9cqj;2; separate_parts ;0;  ;1; The balloon is a play thing. ;1; to stick on a surface ;0; ;101;0;  ;0;  ;0;  ;0; 
MU1Njpm9AT9o;2; separate_parts ;0;  ;0; a weight is probably equally likely ;0;  ;0; ;102;0;  ;0;  ;0;  ;0; 
EnhXukGNmpDM;2; separate_parts ;0;  ;0; kids like ballons ;0;  ;0; ;103;0;  ;0; kids like ballons ;0;  ;0; 
u9Rdf1zCz9ik;2; separate_parts ;0;  ;1; The weight cannot hold the balloon., object in the girl's hand seems to complete the part covered by the balloon. ;0;  ;0; ;104;0;  ;0;  ;0;  ;0; 
ZNKH0dAkzMXG;2; separate_parts ;1; structure (multiple loops of wire), function (mixing/beating) ;1; compactness, function as a standard, quantifiable load for a simple lifting or balancing mechanism ;1; property of creating a temporary, secure bond to a surface ;0; ;105;0; its structure (multiple loops of wire), its function (mixing/beating) ;0;  ;0;  ;0; established role as a safety feature, mounted directly on the wheel of a vehicle
iPQLu8z0nwYB;2; separate_parts ;0;  ;0;  ;0;  ;0; ;106;0;  ;0;  ;0;  ;0; 
9NJwUTuXhiIx;2; separate_parts ;1; The knife is use to cut ;1; can write on the board, play with the balloon ;0;  ;0; ;107;0;  ;0;  ;0;  ;0; 
AH49hCbLgsvX;2; separate_parts ;0; shape of the handle, ergonomic shape of handle ;1; kids like to hold balloons ;1; can stick onto something ;0; ;108;0;  ;0; kids like to hold balloons ;0;  ;0; 
5Ijhaal4gf27;2; separate_parts ;1; powered by electricity, plugged into a wall socket, the right type of connector ;0; weighted down ;1; to stick onto things (like glass), stick to things ;0; ;109;0;  ;0;  ;0;  ;0; 
s4FLrUeTD86M;2; separate_parts ;1; electrical appliance, plugged into the wall, electric powered knife ;1; weigh down the balloon, holding the baloon ;1; formed of a suction cup, suction cup on the end, will stick to the surface you are firing at ;0; ;110;0;  ;0;  ;0; it will stick to the surface you are firing at ;0; 
E8kKn0YmyMfF;2; separate_parts ;0;  ;0;  ;1; stick to a potential target ;0; imperfect, small;111;0;  ;0;  ;0;  ;0; 
UdmThkMdSmL2;2; separate_parts ;1; looks more suitable than the knife, the whisk seems like it would need a bigger handle for use to keep it steady, the knife looks like the right balance to the handle ;1; The weight can keep the balloon at a certain height at all times ;1; stick to certain surfaces you fire it at, bounce off of things, hurt people ;1; to reflect light to keep the rider safe;112;0;  ;0; The weight can keep the balloon at a certain height at all times ;0; It would make it able to stick to certain surfaces you fire it at. ;0; 
DGxyF9C2hEdD;2; separate_parts ;1; Electric whisks are used in a number of baking and cooking activities, the whisk has more uses ;1; balloons can be weighted down ;0; The suction cup would make sense as some toys use that on the end., If it were a weapon the star would be reaosnable (too likely to hurt someone if that isn't for a weapon, so my assumption is that the star is for a weapon), but if that were the case then it would likely be a point as the extra sides/edges of the star are unnecessary, and so the suction cup is more intuitve. ;0; the wheel on a bicycle, extra ring around it, spokes coming off, reflector;113;0;  ;0;  ;0;  ;0; 
ab8BKZvEp639;2; separate_parts ;1; it's a whisking machine, a knife being there would not make sense ;0;  ;1; The star could pierce something, the suction cup would just stick to the surface, unless it's attatched to a string orsomething, there would be no other use ;0; ;114;0;  ;0;  ;0; The star could pierce something ;0; 
hYCBFV0igOXD;2; separate_parts ;0;  ;0;  ;0;  ;0; ;115;0;  ;0;  ;0;  ;0; 
5fLyfzA0soR1;2; separate_parts ;0;  ;0; float away ;1; suction cap, Practical due to suction cap for target ;0; ;116;0;  ;0;  ;0;  ;0; 
